word,color,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,fixation.started,text_2.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate
BLUE,blue,c,None,0,0,0,2,31.0761881,33.1409584,33.5704673,33.5704673,b,0,0.682323,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,red,i,None,0,1,1,3,,34.296228,34.7870054,34.7870054,r,0,0.613825,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,blue,i,None,0,2,2,1,,35.4216677,35.9203814,35.9203814,r,0,0.5814678,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,red,c,None,0,3,3,0,,36.5198098,37.0197562,37.0197562,r,0,1.6618201,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,red,i,None,1,0,4,3,,38.7029568,39.1862626,39.1862626,r,0,0.8080262,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,blue,i,None,1,1,5,1,,40.0198378,40.5196073,40.5196073,b,0,0.4361927,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,red,c,None,1,2,6,0,,40.9857497,41.486198,41.486198,r,0,0.4819858,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,blue,c,None,1,3,7,2,,41.9858495,42.4861841,42.4861841,b,0,0.4256508,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,blue,i,None,2,0,8,1,,42.93572,43.435929,43.435929,b,0,0.6372109,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,red,i,None,2,1,9,3,,44.1021873,44.60232,44.60232,r,0,0.6727097,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,red,c,None,2,2,10,0,,45.3022819,45.8022847,45.8022847,r,0,0.4400602,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,blue,c,None,2,3,11,2,,46.2685964,46.7692738,46.7692738,b,0,0.4049967,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,blue,c,None,3,0,12,2,,47.2016629,47.7018442,47.7018442,b,0,0.3495576,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,red,i,None,3,1,13,3,,48.0683492,48.5686333,48.5686333,r,0,0.620877,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,red,c,None,3,2,14,0,,49.2183815,49.7182807,49.7182807,r,0,0.5933254,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,blue,i,None,3,3,15,1,,50.33456,50.8348153,50.8348153,b,0,0.5031115,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,blue,c,None,4,0,16,2,,51.3679995,51.8681458,51.8681458,b,0,0.4927729,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,red,c,None,4,1,17,0,,52.3842099,52.8845433,52.8845433,r,0,0.5093773,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
BLUE,red,i,None,4,2,18,3,,53.417666,53.9179379,53.9179379,r,0,0.4322753,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
RED,blue,i,None,4,3,19,1,,54.3676256,54.8674976,54.8674976,b,0,0.4188873,None,,,11111,1,2023-08-18_12h18.13.728,stroop_effect,2023.1.3,60.1221321
,,,,,,,,,,,,,,,,55.3173251,56.3175234,,,,,,
