trials1.thisTrialN,trials1.stepSize,trials1.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials1.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,8.5750642,9.0994275,9.0994275,9.0994275,9.4069029,right,10,1,1,5.4812939,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
1,2,8,14.6057465,15.1058448,15.1058448,15.1058448,15.4063617,right,8,1,1,0.7172786,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
2,2,6,15.8557025,16.3556122,16.3390281,16.3390281,16.6390862,left,-6,1,1,0.4975504,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
3,2,4,16.8558874,17.3555158,17.3555158,17.3555158,17.6555915,right,4,1,1,0.452048,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
4,2,2,17.8385698,18.3386126,18.3386126,18.3386126,18.6384648,left,-2,1,1,0.4124916,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
5,2,1,18.7720026,19.2717839,19.2717839,19.2717839,19.571976,right,1,1,1,3.7380094,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
6,1,1,23.0379991,23.5387578,23.5213096,23.5213096,23.8212581,right,1,0,0,2.8955991,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
7,1,2,26.4376127,26.937533,26.9213707,26.9213707,27.2210807,left,-2,1,1,0.5631893,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
8,1,2,27.5041274,28.0039831,28.0039831,28.0039831,28.3038864,left,-2,1,1,0.457741,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
9,1,2,28.4872009,28.9872696,28.9706072,28.9706072,29.2706908,left,-2,1,1,0.4531545,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
10,1,1,29.4539081,29.9542984,29.9373819,29.9373819,30.237081,left,-1,1,1,0.4828027,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
11,0.5,1,30.4371633,30.9371241,30.9371241,30.9371241,31.2369439,right,1,0,0,1.1822567,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
12,0.5,1.5,32.136755,32.6367375,32.6205496,32.6205496,32.9203273,right,1.5,0,0,0.7883394,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
13,0.5,2,33.4368275,33.9367414,33.9367414,33.9367414,34.236615,right,2,1,1,0.7633322,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
14,0.5,2,34.7198801,35.2198157,35.2033063,35.2033063,35.5028746,right,2,1,1,0.8799808,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
15,0.5,2,36.1027502,36.603045,36.603045,36.603045,36.9033027,left,-2,1,1,0.4576712,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
16,0.5,1.5,37.0863313,37.5860769,37.5860769,37.5860769,37.8859963,right,1.5,1,1,1.0934142,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
17,0.5,1.5,38.7024811,39.2025468,39.1859067,39.1859067,39.4861089,right,1.5,1,1,0.6507375,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
18,0.5,1.5,39.8701325,40.3698604,40.3538105,40.3538105,40.6523014,right,1.5,0,0,0.5653433,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
19,0.5,2,40.9359448,41.4365297,41.4188356,41.4188356,41.7188029,right,2,1,1,0.5929082,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
20,0.5,2,42.0352838,42.5357309,42.5190194,42.5190194,42.818819,left,-2,1,1,0.4349276,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
21,0.5,2,42.9852801,43.4853164,43.4853164,43.4853164,43.7857488,right,2,1,1,0.5964301,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
22,0.5,1.5,44.1020479,44.6019225,44.5852103,44.5852103,44.8849288,right,1.5,1,1,0.6836663,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
23,0.5,1.5,45.3019345,45.8018281,45.7852279,45.7852279,46.085215,right,1.5,0,0,0.6967973,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
24,0.5,2,46.503067,47.0020236,47.0020236,47.0020236,47.3018012,right,2,1,1,1.0243759,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
25,0.5,2,48.0516769,48.5515442,48.5515442,48.5515442,48.8512768,left,-2,1,1,0.4815682,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
26,0.5,2,49.0515569,49.5511539,49.5511539,49.5511539,49.8515731,right,2,1,1,0.4784582,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
27,0.5,1.5,50.0511927,50.551211,50.5344361,50.5344361,50.8347042,right,1.5,0,0,0.9224621,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
28,0.5,2,51.4842853,51.984314,51.984314,51.984314,52.2846933,right,2,1,1,0.5354173,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
29,0.5,2,52.5511302,53.0509057,53.0343002,53.0343002,53.3341344,right,2,1,1,0.537923,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
30,0.5,2,53.6006068,54.1008972,54.1008972,54.1008972,54.4006087,left,-2,1,1,0.4102178,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
31,0.5,1.5,54.5340841,55.0336988,55.0336988,55.0336988,55.33415,left,-1.5,1,1,0.4934607,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
32,0.5,1.5,55.552273,56.0531874,56.0377566,56.0377566,56.3465606,right,1.5,0,0,4.4361063,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
33,0.5,2,60.5007213,61.0014445,61.0014445,61.0014445,61.3021651,right,2,1,1,0.6135424,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
34,0.5,2,61.6340987,62.1338309,62.1338309,62.1338309,62.4336111,left,-2,1,1,0.43866,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
35,0.5,2,62.6007135,63.1002704,63.1002704,63.1002704,63.4002652,left,-2,1,1,0.4194657,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
36,0.5,1.5,63.5512076,64.0523204,64.034229,64.034229,64.3335714,right,1.5,1,1,0.4435857,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
37,0.5,1.5,64.5001881,64.9998519,64.9998519,64.9998519,65.300139,right,1.5,0,0,0.6336218,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
38,0.5,2,65.6505893,66.1506064,66.1336423,66.1336423,66.4332668,left,-2,0,0,0.4233881,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
39,0.5,2.5,66.5837313,67.0841392,67.0667483,67.0667483,67.3672489,left,-2.5,1,1,0.5022693,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
40,0.5,2.5,67.5989047,68.0989533,68.0832001,68.0832001,68.3987426,right,2.5,1,1,0.5128399,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
