delay,freq,condtion,textbox.text,,
0.7,1000,exp,350,,
0.1,1000,exp,400,Expected,274.3571429
0.1,1000,exp,150,Unexpected ,310.3333333
0.7,1000,exp,300,,-35.97619048
0.1,1000,exp,400,,
0.4,1000,exp,400,,
0.4,1000,exp,350,,
0.1,1000,exp,250,,
0.7,1000,exp,250,,
0.7,1000,exp,100,,
0.4,1000,exp,150,,
0.1,1000,exp,150,,
0.1,1000,exp,100,,
0.4,1000,exp,150,,
0.4,1000,exp,100,,
0.1,1000,exp,100,,
0.7,1000,exp,300,,
0.1,1000,exp,100,,
0.1,1000,exp,100,,
0.4,1000,exp,100,,
0.7,1000,exp,250,,
0.4,1000,exp,300,,
0.1,1000,exp,250,,
0.1,1000,exp,100,,
0.7,1000,exp,400,,
0.1,1000,exp,50,,
0.4,1000,exp,500,,
0.7,1000,exp,750,,
0.7,1000,exp,750,,
0.1,1000,exp,350,,
0.1,1000,exp,300,,
0.7,1000,exp,100,,
0.1,1000,exp,100,,
0.4,1000,exp,400,,
0.4,1000,exp,350,,
0.4,1000,exp,300,,
0.4,1000,exp,300,,
0.1,1000,exp,200,,
0.7,1000,exp,150,,
0.7,1000,exp,150,,
0.1,1000,exp,100,,
0.1,1000,exp,300,,
0.1,1000,exp,50,,
0.4,1000,exp,75,,
0.7,1000,exp,100,,
0.4,1000,exp,450,,
0.1,1000,exp,700,,
0.1,1000,exp,450,,
0.7,1000,exp,450,,
0.4,1000,exp,500,,
0.1,1000,exp,400,,
0.7,1000,exp,450,,
0.1,1000,exp,300,,
0.1,1000,exp,300,,
0.4,1000,exp,50,,
0.7,1000,exp,750,,
0.4,1000,exp,445,,
0.7,1000,exp,350,,
0.4,1000,exp,350,,
0.1,1000,exp,350,,
0.1,1000,exp,405,,
0.1,1000,exp,100,,
0.7,1000,exp,150,,
0.1,1000,exp,375,,
0.4,1000,exp,125,,
0.7,1000,exp,100,,
0.4,1000,exp,500,,
0.1,1000,exp,70,,
0.1,1000,exp,60,,
0.7,1000,exp,50,,
0.1,400,unexp,500,,
0.7,400,unexp,600,,
0.4,400,unexp,250,,
0.1,400,unexp,100,,
0.4,400,unexp,100,,
0.7,400,unexp,100,,
0.7,400,unexp,200,,
0.4,400,unexp,350,,
0.1,400,unexp,100,,
0.7,400,unexp,250,,
0.1,400,unexp,300,,
0.4,400,unexp,750,,
0.1,400,unexp,350,,
0.4,400,unexp,100,,
0.7,400,unexp,150,,
0.4,400,unexp,200,,
0.7,400,unexp,200,,
0.1,400,unexp,150,,
0.4,400,unexp,100,,
0.7,400,unexp,300,,
0.1,400,unexp,500,,
0.1,400,unexp,75,,
0.7,400,unexp,700,,
0.4,400,unexp,780,,
0.7,400,unexp,800,,
0.1,400,unexp,105,,
0.4,400,unexp,350,,
0.4,400,unexp,400,,
0.7,400,unexp,350,,
0.1,400,unexp,100,,
